e,t1,t2,t3,t4
0.01,84,54,46,43
0.02,43,43,44,43
0.03,44,42,44,43
0.04,40,41,41,41
0.05,44,42,41,41
0.060000000000000005,42,40,42,41
0.07,40,41,40,41
0.08,40,41,40,43
0.09,40,40,41,41
0.09999999999999999,40,41,40,41
0.10999999999999999,40,41,41,41
0.11999999999999998,41,41,41,42
0.12999999999999998,44,40,41,40
0.13999999999999999,46,40,41,41
0.15,40,39,39,38
0.16,38,36,38,37
0.17,34,34,35,33
0.18000000000000002,35,34,35,34
0.19000000000000003,30,31,31,31
0.20000000000000004,27,29,26,30
0.21000000000000005,25,27,26,27
0.22000000000000006,26,26,26,26
0.23000000000000007,23,23,24,23
0.24000000000000007,23,25,24,24
0.25000000000000006,22,21,20,22
0.26000000000000006,20,20,20,22
0.2700000000000001,20,20,21,21
0.2800000000000001,21,20,20,21
0.2900000000000001,17,17,18,18
0.3000000000000001,17,19,17,17
0.3100000000000001,16,17,17,16
0.3200000000000001,16,16,17,16
0.3300000000000001,16,16,16,16
0.34000000000000014,12,13,12,12
0.35000000000000014,12,13,13,12
0.36000000000000015,12,12,12,13
0.37000000000000016,11,12,11,11
0.38000000000000017,10,11,11,11
0.3900000000000002,11,11,11,11
0.4000000000000002,11,10,11,11
0.4100000000000002,9,9,10,9
0.4200000000000002,9,10,9,9
0.4300000000000002,8,8,9,8
0.4400000000000002,8,9,8,9
0.45000000000000023,8,8,8,8
0.46000000000000024,8,8,8,8
0.47000000000000025,7,8,8,9
0.48000000000000026,8,8,9,8
0.49000000000000027,8,8,8,8
0.5000000000000002,9,9,9,9
0.5100000000000002,9,10,9,10
0.5200000000000002,10,10,9,9
0.5300000000000002,11,10,10,9
0.5400000000000003,10,9,10,9
0.5500000000000003,8,7,7,7
0.5600000000000003,7,7,7,7
0.5700000000000003,8,7,8,7
0.5800000000000003,7,6,7,7
0.5900000000000003,6,7,6,6
0.6000000000000003,6,6,6,7
0.6100000000000003,6,6,7,6
0.6200000000000003,6,6,7,6
0.6300000000000003,7,6,7,6
0.6400000000000003,6,6,6,7
0.6500000000000004,6,6,7,6
0.6600000000000004,6,6,6,7
0.6700000000000004,3,4,5,4
0.6800000000000004,4,4,4,4
0.6900000000000004,4,4,4,4
0.7000000000000004,5,4,3,5
0.7100000000000004,4,3,5,4
0.7200000000000004,4,4,4,5
0.7300000000000004,4,4,4,4
0.7400000000000004,4,4,3,4
0.7500000000000004,4,3,3,3
0.7600000000000005,3,3,3,3
0.7700000000000005,3,3,3,3
0.7800000000000005,3,3,3,3
0.7900000000000005,3,3,3,3
0.8000000000000005,3,3,3,3
0.8100000000000005,2,3,3,3
0.8200000000000005,3,3,2,3
0.8300000000000005,3,3,3,3
0.8400000000000005,3,3,3,3
0.8500000000000005,3,4,2,4
0.8600000000000005,3,3,3,3
